City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
295,bafq,31.6128,55.4107,305.57,12,0,3.29,IR,1689543507
296,terra santa,-2.1042,-56.4869,301.41,54,89,1.24,BR,1689543507
297,misratah,32.3754,15.0925,301.28,57,0,2.22,LY,1689543507
298,tantou,26.0314,119.5986,301.02,94,75,4.0,CN,1689543508
299,xinhui,22.456,113.0482,299.9,86,100,8.1,CN,1689543508
300,udachny,66.4167,112.4,283.4,61,100,4.41,RU,1689543508
301,sydney,-33.8679,151.2073,286.08,92,75,3.6,AU,1689543055
302,cockburn town,21.4612,-71.1419,301.71,82,1,7.3,TC,1689543509
303,iquique,-20.2208,-70.1431,292.17,76,20,2.1,CL,1689543504
304,trat,12.5,102.5,298.5,89,100,3.57,TH,1689543509
305,tonghae,37.5439,129.1069,297.36,85,52,1.79,KR,1689543510
306,hithadhoo,-0.6,73.0833,300.71,74,2,0.2,MV,1689543510
307,i-n-salah,27.1935,2.4607,309.52,6,0,7.77,DZ,1689543510
308,porto novo,6.4965,2.6036,300.05,86,100,3.59,BJ,1689543510
309,beledweyne,4.7358,45.2036,297.29,70,41,8.44,SO,1689543511
310,shakawe,-18.3667,21.85,284.93,46,4,2.62,BW,1689543511
311,guerrero negro,27.9769,-114.0611,299.99,54,89,6.12,MX,1689543511
312,kapuskasing,49.4169,-82.4331,298.2,41,75,3.6,CA,1689543511
313,cajamarca,-7.1638,-78.5003,293.19,49,75,3.09,PE,1689543512
314,novo aripuana,-5.1206,-60.3797,303.27,49,89,0.75,BR,1689543512
315,inongo,-1.95,18.2667,297.11,56,13,1.63,CD,1689543512
316,bayganin,48.6947,55.8742,292.43,59,19,6.87,KZ,1689543513
317,taroa,8.7058,171.2275,301.24,76,26,5.92,MH,1689543514
318,kumagunnam,13.1551,10.6342,305.2,38,72,1.99,NG,1689543514
319,pala,9.3642,14.9046,298.75,61,5,2.06,TD,1689543514
320,shizunai-furukawacho,42.3339,142.3669,292.89,96,100,1.75,JP,1689543514
321,makedonski brod,41.5136,21.2153,296.43,72,0,1.73,MK,1689543515
322,baoding,38.8511,115.4903,298.01,39,0,1.34,CN,1689543515
323,hailar,49.2,119.7,292.3,62,5,1.99,CN,1689543515
324,shibetsu,43.659,145.132,287.42,95,100,2.98,JP,1689543515
325,rakops,-21.0167,24.3333,286.33,37,50,3.04,BW,1689543516
326,awjilah,29.1081,21.2869,303.8,42,1,5.62,LY,1689543516
327,morehead city,34.7229,-76.726,306.16,86,0,8.23,US,1689543516
328,bamboo flat,11.7,92.7167,302.2,79,75,6.17,IN,1689543517
329,antonio enes,-16.2325,39.9086,294.69,76,0,4.14,MZ,1689543517
330,kirakira,-10.4544,161.9205,299.63,88,76,4.08,SB,1689543517
331,nar'yan-mar,67.6713,53.087,287.02,91,59,4.04,RU,1689543517
332,lawas,13.764,121.0566,299.57,87,100,1.22,PH,1689543518
333,al jaradiyah,16.5795,42.9124,308.87,51,32,1.68,SA,1689543518
334,colonia,50.9333,6.95,294.23,56,0,3.09,DE,1689543518
335,guli,28.8833,120.0333,297.65,94,83,1.25,CN,1689543518
336,bikin,46.8161,134.26,290.57,99,100,1.69,RU,1689543519
337,sevsk,52.1491,34.4926,289.55,77,62,2.73,RU,1689543519
338,tura,25.5198,90.2201,297.35,89,100,1.92,IN,1689543519
339,yanchep,-31.55,115.6833,283.22,80,14,2.94,AU,1689543519
340,akjoujt,19.6969,-14.4164,301.66,49,55,7.93,MR,1689543520
341,susuman,62.7833,148.1667,290.15,50,99,2.39,RU,1689543520
342,al mijlad,11.0333,27.7333,303.05,46,9,3.99,SD,1689543520
343,kaliganj,23.4095,89.1402,298.79,94,100,3.13,BD,1689543520
344,parun,35.4207,70.9221,287.14,60,1,4.36,AF,1689543521
345,tambopata,-12.7333,-69.1833,304.09,42,20,1.54,PE,1689543521
346,prince rupert,54.3161,-130.3201,289.2,86,100,3.09,CA,1689543521
347,san antonio de pale,-1.4014,5.6325,296.22,80,7,5.49,GQ,1689543521
348,pandan,14.0453,124.1694,299.75,85,97,4.06,PH,1689543522
349,alofi,-19.0595,-169.9187,293.09,94,100,5.14,NU,1689543522
350,saint-francois,46.4154,3.9054,291.84,72,0,0.0,FR,1689543522
351,mili,6.0815,171.735,301.09,71,44,6.13,MH,1689543522
352,metlili chaamba,32.2667,3.6333,305.67,9,0,2.06,DZ,1689543523
353,newman,37.3138,-121.0208,316.34,9,100,2.89,US,1689543523
354,issia,6.4922,-6.5856,295.57,99,100,1.29,CI,1689543523
355,usinsk,65.9939,57.5281,291.28,57,100,4.84,RU,1689543523
356,minatitlan,17.9833,-94.5167,302.2,89,40,5.14,MX,1689543524
357,kargasok,59.0556,80.8572,284.16,80,4,3.0,RU,1689543524
358,arteche,12.2645,125.4048,298.44,86,34,1.99,PH,1689543524
359,buala,-8.145,159.5921,300.11,84,100,2.44,SB,1689543524
360,padang,-0.9492,100.3543,297.18,87,48,1.65,ID,1689543525
361,moirang,24.5,93.7667,294.77,99,100,0.75,IN,1689543525
362,freetown,8.484,-13.2299,299.99,83,75,4.63,SL,1689543522
363,queenstown,-31.8976,26.8753,283.06,48,41,2.4,ZA,1689543525
